Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,City,Visa_Sponsorship,Job_ID,Scope_Category
Parcel Delivery Driver On-Call / Minijob / Temporary,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Berlin,Deutsche Post & DHL,Direct Employer,2026-06-16,Full-time,,"The role involves delivering parcel shipments on an on-call basis using a company delivery vehicle, taking over and organising parcels at the depot, and independently completing delivery routes.",Good conversational level in German or English; physical fitness and time flexibility; reliability; minimum age 18; valid EU Class B driving licence held for at least 2 years.,Tariff hourly wage of €17.20; job security with guaranteed pay increases per collective agreement and punctual payment; flexible working days (Monday to Saturday); employment possible as minijob with daily contracts; induction provided.,On-site,https://www.stepstone.de/stellenangebote--Paketzusteller-Abrufkraft-Minijob-Aushilfe-m-w-d-in-der-ZB-Berlin-Zentrum-Berlin-Marzahn-Hellersdorf-Deutsche-Post-DHL--12848985-inline.html,Berlin Marzahn-Hellersdorf,,job-207,LOGISTICS
Parcel Delivery Driver On-Call / Minijob / Temporary,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Berlin,Deutsche Post & DHL,Direct Employer,2026-06-16,Full-time,,"The role involves delivering parcel shipments on an on-call basis using a company delivery vehicle, taking over and organising parcels at the depot, and independently completing delivery routes.",Good conversational level in German or English; physical fitness and time flexibility; reliability; minimum age 18; valid EU Class B driving licence held for at least 2 years.,Tariff hourly wage of €17.20; job security with guaranteed pay increases per collective agreement and punctual payment; flexible working days (Monday to Saturday); employment possible as minijob with daily contracts; induction provided.,On-site,https://www.stepstone.de/stellenangebote--Paketzusteller-Abrufkraft-Minijob-Aushilfe-m-w-d-in-der-ZB-Marzahn-Berlin-Lichtenberg-Deutsche-Post-DHL--12848920-inline.html,Berlin Lichtenberg,,job-208,LOGISTICS
Furniture Assembly and Delivery Technician,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Berlin,DKW Design Klassiker Weißensee GmbH,Direct Employer,2026-06-16,Full-time,,"The role involves delivering design classic furniture (USM Haller system) to customers and performing on-site assembly, disassembly, and reassembly of the modular furniture system.",Manual and technical aptitude; professional and confident manner; Class B driving licence.,Professional and dynamic team; training on the USM furniture assembly system; attractive remuneration; secure employment.,On-site,https://www.stepstone.de/stellenangebote--Monteur-und-Auslieferer-in-Berlin-von-Designklassikern-Berlin-DKW-Design-Klassiker-Weissensee-GmbH--13197099-inline.html,Berlin,,job-209,LOGISTICS
Parcel Delivery Driver On-Call / Minijob / Temporary,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",,Deutsche Post & DHL,Direct Employer,2026-06-16,Full-time,,"The role involves delivering parcel shipments on an on-call basis using a company delivery vehicle, taking over and organising parcels at the depot, and independently completing delivery routes.",Good conversational level in German or English; physical fitness and time flexibility; reliability; minimum age 18; valid EU Class B driving licence held for at least 2 years.,Tariff hourly wage of €17.20; job security with guaranteed pay increases per collective agreement and punctual payment; flexible working days (Monday to Saturday); employment possible as minijob with daily contracts; induction provided.,On-site,https://www.stepstone.de/stellenangebote--Paketzusteller-Abrufkraft-Minijob-Aushilfe-m-w-d-in-der-ZB-Ruedersdorf-Ruedersdorf-Deutsche-Post-DHL--12848891-inline.html,Rüdersdorf,,job-210,LOGISTICS
Delivery Driver for Rehabilitation Aids,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Berlin,Rehaform GmbH & Co. KG,Direct Employer,2026-06-16,Full-time,,"Delivers and retrieves rehabilitation aids and medical equipment to customers and patients, providing instruction on safe use. Also performs vehicle maintenance and minor repair work.",Completed vocational training preferred; valid class B driving license required; independent working style with empathy; basic IT skills; manual dexterity.,Excellent work-life balance; 37.5-hour week Mon–Fri (Fridays until 14:30); modern equipment; training and development support; perks including free beverages and occupational pension contribution.,On-site,https://www.stepstone.de/stellenangebote--Auslieferungsfahrer-reha-technischer-Hilfsmittel-m-w-d-Auslieferungsfahrer-in-nicht-Verkaufsfahrer-in-Berlin-Rehaform-GmbH-Co-KG--13781315-inline.html,Berlin,,job-211,LOGISTICS
Machine Operator in Unexploded Ordnance Clearance,Earthmoving & Construction Plant Operators (8342),8342,834,83,Earthmoving and Related Plant Operators,Brandenburg,Franz Lutomsky GmbH,Direct Employer,2026-06-15,Full-time,,Operates an excavator for detection drilling and uncovering of buried ordnance objects under the supervision of a pyrotechnician. Also maintains vehicles and machines and assists with loading and unloading trucks.,Professional experience as an excavator operator/machine operator; valid class C/CE or C1E driving license desirable; written and spoken German; independent and responsible working style; high readiness for deployment.,Permanent position with prospects in an established company; attractive salary package with capital-forming benefits and occupational pension; accommodation and subsistence allowance for on-site assignments; in-house academy training.,On-site,https://www.stepstone.de/stellenangebote--Maschinist-m-w-d-in-der-Kampfmittelraeumung-Oranienburg-Oranienburg-Franz-Lutomsky-GmbH--12065506-inline.html,Oranienburg,,job-212,LOGISTICS
Tow Truck Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Abschleppdienst Rudolph GmbH,Direct Employer,2026-06-15,Part-time,,"Tows and recovers broken-down, accident-damaged, or illegally parked vehicles, and provides roadside assistance such as jump-starts and tyre changes. Responsible for vehicle documentation, order processing, and maintenance of the recovery truck.",Class C/CE driving license with key number 95 mandatory; physically fit and flexible for shift and on-call duty; reliable and conscientious handling of the vehicle; professional conduct toward customers and colleagues.,Central workplace with good public transport access; local operations only (no overnight stays); national scope only.,On-site,https://www.stepstone.de/stellenangebote--Jobdetail-FAHRER-FUER-DEN-ABScHLEPPDIENSt-m-w-d-in-Berlin-Berlin-Deutschland-Abschleppdienst-Rudolph-GmbH--13117100-inline.html,Berlin,,job-213,LOGISTICS
Driver with Passenger Transport License (P-Schein),Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Berlin,Treagle Car Taxi- und Mietwagenunternehmen GmbH,Direct Employer,2026-06-15,Full-time,,"Transports passengers within Berlin and the surrounding area, including support for mobility-impaired passengers boarding and alighting. Operates modern billing and navigation systems while adhering to traffic regulations and transport guidelines.","Valid passenger transport license (P-Schein) for taxi services; class B driving license with at least 2 years' experience; good local knowledge; neat appearance and polite manner; willingness to work shifts, nights, and weekends.",Immediate start possible; performance-based pay plus tips; pleasant working atmosphere; flexible working hours (full-time or part-time); modern well-equipped vehicles; long-term employment prospects.,On-site,https://www.stepstone.de/stellenangebote--Fahrer-m-w-d-mit-P-Schein-gesucht-Berlin-Treagle-Car-Taxi-und-Mietwagenunternehmen-GmbH--13909055-inline.html,Berlin,,job-214,LOGISTICS
Service Driver / Field Service Technician,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Berlin,Maltry Rehatechnik GmbH & Co. KG,Direct Employer,2026-06-14,Full-time,,"Provides field-based fitting, adjustment, and delivery of medical aids such as wheelchairs, including customer consultations and measurements. Maintains relationships with care facilities and documents additional supply needs.",Completed vocational training in a technical or trade field; good technical understanding and manual dexterity; class B driving license; service-oriented and customer-friendly manner; empathy toward people with physical impairments; independent working style.,Not specified.,On-site,https://www.stepstone.de/stellenangebote--Servicefahrer-Servicetechniker-im-Aussendienst-m-w-d-Auslieferungsfahrer-in-nicht-Verkaufsfahrer-in-Berlin-Maltry-Rehatechnik-GmbH-Co-KG--13761757-inline.html,Berlin,,job-215,LOGISTICS
Driver (Part-Time),Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Brandenburg,Arbeiter-Samariter-Bund Regionalverband Mittel-Brandenburg e.V. (ASB),Direct Employer,2026-06-13,Part-time,,"Transports elderly persons and workshop employees as well as meals and laundry to care facilities, providing assistance with boarding and alighting. Conducts vehicle roadworthiness checks and maintains the vehicle.","Class B driving license minimum; experience as a driver, taxi driver, or chauffeur preferred; reliable, motivated, and team-oriented; strong service mentality; good communication skills and German language proficiency.",Collegial and friendly work environment; secure and plannable job; pay according to collective agreement including annual bonus; guaranteed salary increases; 30 days' holiday; Monday–Friday day shifts.,On-site,https://www.stepstone.de/stellenangebote--Fahrer-w-m-d-in-Teilzeit-Koenigs-Wusterhausen-Arbeiter-Samariter-Bund-Regionalverband-Mittel-Brandenburg-e-V-ASB--13829500-inline.html,Königs Wusterhausen,,job-216,LOGISTICS
Vehicle Mechanic / Mechatronics Technician for Commercial Vehicles,Motor Vehicle & Fleet Mechanics (7231),7231,723,72,Motor Vehicle Mechanics and Repairers,Berlin,HUGO Containerservice GmbH,Direct Employer,2026-06-12,Full-time,,"Carries out repair and maintenance of trucks and vans including fault diagnosis on electrical, mechanical, and hydraulic systems. Works independently on fleet vehicles (Renault, Mercedes, Mitsubishi Fuso, etc.) in collaboration with dispatch and drivers.","Completed training as a vehicle mechanic or mechatronics technician for commercial vehicles; career changers with relevant truck/van repair experience welcome; strong diagnostic skills; class B driving license, CE desirable; German at B2 level minimum.","Salary €3,000–€4,400 gross depending on experience; fixed hours Mon–Fri 07:00–16:00; 30 days' holiday; no shift work; occupational pension; supplementary health insurance; company mobile phone for private use.",On-site,https://www.stepstone.de/stellenangebote--KFZ-Mechaniker-Mechatroniker-m-w-d-fuer-Nutzfahrzeuge-Berlin-HUGO-Containerservice-GmbH--13040784-inline.html,Berlin,,job-217,LOGISTICS
Bus Driver,Bus & Coach Drivers (8331),8331,833,83,Bus and Tram Drivers,Brandenburg,PotsdamBus GmbH,Direct Employer,2026-06-12,Full-time,,"Responsibly transports school pupils on daily school runs, sports venue transfers, and class excursions, and drives typical excursion routes for groups in charter operations. Plans routes independently, uses navigation and traffic information systems, and ensures vehicle readiness and cleanliness.","Valid class D driving license; valid professional driver qualification (BKrFQG, key number 95 or driver qualification card); experience in bus transport advantageous; good German and English skills; willingness for occasional weekend and public-holiday work; friendly, service-oriented manner.","Secure job in a growing family business; regular hours Mon–Fri between 06:00 and 18:00, no shift work (occasional weekends); individual consideration of scheduling preferences where possible; fair remuneration.",On-site,https://www.stepstone.de/stellenangebote--Busfahrer-m-w-d-Kleinmachnow-PotsdamBus-GmbH--13329550-inline.html,Kleinmachnow,,job-218,LOGISTICS
Track Maintenance Worker / Trainee Operator of Auxiliary Rail Vehicles,Locomotive & Train Drivers (8311),8311,831,83,Locomotive Engine Drivers,Berlin,Deutsche Bahn AG,Direct Employer,2026-06-12,Full-time,,"Carries out maintenance and repair work on track and switch installations, assists with material planning for construction work, and supports measures to clear weather-related obstructions. The role includes a pathway to qualification as an operator of auxiliary/works rail vehicles.","Completed vocational training as a track builder, steel constructor, structural mechanic, locksmith, or equivalent; class 3 driving license for auxiliary rail vehicles desirable; teamwork and communication skills; willingness to work rotating shifts.",Market-rate salary package; generally permanent contracts with employment security; occupational pension; long-term career perspective; various additional perks.,On-site,https://www.stepstone.de/stellenangebote--Arbeiter-in-Oberbau-Weiterqualifizierung-zum-zur-Triebfahrzeugfuehrer-in-von-Nebenfahrzeugen-Berlin-Deutsche-Bahn-AG--13772603-inline.html,Berlin,,job-219,LOGISTICS
Track Maintenance Worker / Further Qualification as Auxiliary Rail Vehicle Operator,Locomotive & Train Drivers (8311),8311,831,83,Locomotive Engine Drivers,Berlin,Deutsche Bahn AG,Direct Employer,2026-06-12,Full-time,,"Performs inspection, maintenance, and repair work on track and switch installations, supports measurement tasks, and assists with clearing weather-related obstructions and material planning. The role includes further qualification to operate auxiliary/works rail vehicles on the network.",Certified train driver qualification with proof in accordance with Railway Operating Regulations (EBO); additional qualification for auxiliary rail vehicles desirable; teamwork and communication skills; willingness to work rotating shifts; class B driving license.,"DB employee discount platform with monthly offers (mobile contracts, insurance, hotel, fashion); market-rate salary package; generally permanent contracts with employment security; occupational pension.",On-site,https://www.stepstone.de/stellenangebote--Arbeiter-in-Oberbau-zur-Weiterqualifizierung-zum-zur-Triebfahrzeugfuehrer-in-von-Nebenfahrzeugen-Berlin-Deutsche-Bahn-AG--13772602-inline.html,Berlin,,job-220,LOGISTICS
Train Driver for Milling Machine,Locomotive & Train Drivers (8311),8311,831,83,Locomotive Engine Drivers,Bayern,Deutsche Bahn AG,Direct Employer,2026-06-10,Full-time,,"Operates rail-mounted milling machines and traction vehicles between depots and job sites across Germany for track maintenance purposes. Also performs minor mechanical, pneumatic, and hydraulic repairs and supports track construction colleagues during grinding operations.",Completed vocational training and valid train driver's licence; experience driving traction vehicles; willingness to work nationwide and predominantly at night; good to very good German language skills.,"16 free train journeys within Germany per year, DB Job-Ticket, discounted travel for family and friends, market-rate pay.",On-site,https://www.stepstone.de/stellenangebote--Triebfahrzeugfuehrer-in-fuer-die-Fraesmaschine-w-m-d-Augsburg-Berlin-Bielefeld-Bochum-Bonn-Bremen-Dortmund-Dresden-Duisburg-Duesseldorf-Erfurt-Deutsche-Bahn-AG--13496923-inline.html,Augsburg,,job-221,LOGISTICS
Operator of Dual-Mode and Overhead Line Vehicles,Locomotive & Train Drivers (8311),8311,831,83,Locomotive Engine Drivers,,Deutsche Bahn AG,Direct Employer,2026-06-06,Full-time,,"Drives and operates track-bound heavy construction machines including overhead line assembly vehicles, motor tower wagons, and dual-mode (road-rail) vehicles. Supports new construction, maintenance, and servicing of overhead line systems and carries out minor repairs on the machines.","Completed vocational training, ideally as a train driver (classes A+B2 or class 3) or machine operator; experience in construction or auxiliary vehicle operations preferred; willingness to work shifts including weekends and public holidays and to travel nationwide; technical aptitude.","16 free train journeys within Germany per year, DB Job-Ticket, discounted travel for family and friends, permanent employment contract with long-term prospects.",On-site,https://www.stepstone.de/stellenangebote--Bediener-in-fuer-Zweiwegetechnik-und-Oberleitungsfahrzeuge-Bad-Kleinen-Berlin-Cottbus-Dresden-Erfurt-Freiburg-im-Breisgau-Halle-Saale-Hanau-Deutsche-Bahn-AG--13562867-inline.html,Bad Kleinen,,job-222,LOGISTICS
Train Driver for Individual Fault Tamping Machine ESM Sprinter,Locomotive & Train Drivers (8311),8311,831,83,Locomotive Engine Drivers,Bayern,Deutsche Bahn AG,Direct Employer,2026-06-04,Full-time,,"Drives traction vehicles between depots and work sites across Germany and operates the ESM Sprinter individual fault tamping machine during track maintenance interventions. Also performs routine maintenance and minor mechanical, pneumatic, and hydraulic repairs on the machine.",Completed vocational training and valid train driver's licence; experience driving traction vehicles; willingness to work nationwide predominantly at night; good to very good German language skills.,"16 free train journeys within Germany per year, DB Job-Ticket, discounted shopping benefits for DB employees every month.",On-site,https://www.stepstone.de/stellenangebote--Triebfahrzeugfuehrer-in-fuer-die-Einzelfehlerstopfmaschine-ESM-Sprinter-Augsburg-Berlin-Bielefeld-Bochum-Bonn-Bremen-Dortmund-Dresden-Duisburg-Duesseldorf-Erfurt-Deutsche-Bahn-AG--13496499-inline.html,Augsburg,,job-223,LOGISTICS
Parcel Delivery Driver / Courier Driver,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Berlin,PIN AG,Direct Employer,2026-06-02,Part-time,,"Delivers and collects crates and parcels from customers in Berlin using a modern company van, working 6–8 hours per day, five days a week with a morning start from 06:00. Responsible for safe loading, unloading, and professional customer interaction.",Class B driving licence; experience as a driver in logistics preferred; good German language skills (spoken and written); good local knowledge of Berlin; independent and organised working style; friendly and professional manner.,"Fast and straightforward application process, paid onboarding, permanent employment contract, punctual pay.",On-site,https://www.stepstone.de/stellenangebote--Paketzusteller-Kurierfahrer-Fahrer-m-w-d-Berlin-PIN-AG--13267156-inline.html,Berlin,,job-224,LOGISTICS
Bicycle Courier / Letter Carrier,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Berlin,PIN AG,Direct Employer,2026-06-02,Full-time,,"Sorts letters by street and house number at the depot each morning, then cycles a regular delivery route in the Berlin neighbourhood delivering letters with a company cargo bike. Returns to the depot in the afternoon to close out the working day with the team.",Safe cycling in Berlin city traffic; willingness to work outdoors in all weather; prior experience in letter or parcel delivery; availability up to 5 days per week; German language skills at least C1 level; composure under pressure.,"Fast and simple application process, paid and comprehensive onboarding, varied and future-proof workplace.",On-site,https://www.stepstone.de/stellenangebote--Fahrradkurier-Zusteller-Postbote-Quereinstieg-Berlin-m-w-d-Berlin-PIN-AG--13267151-inline.html,Berlin,,job-225,LOGISTICS
Dispatcher International Long-Haul European Logistics,Transport & Dispatch Clerks (4323),4323,432,43,Transport Clerks,,meinestadt.de,Recruitment Agency,2026-06-28,Full-time,,"Handles daily dispatching for international long-haul freight, including cargo space procurement, processing spot-price enquiries, scheduling unloading time windows, and documenting part- and full-load clearances. Acts as the main point of contact for transport companies, internal departments, and drivers.",Completed training as a freight forwarding and logistics services clerk or equivalent commercial qualification; negotiation-level German (C2) and English (B1); good geographical knowledge and knowledge of driving-time regulations.,"Monday to Friday 39-hour week with minute-precise time recording; 28 days holiday plus 24 and 31 December free; EUR 360 travel allowance plus profit share from year 2, Christmas bonus, and further voluntary benefits.",On-site,https://www.stepstone.de/stellenangebote--Disponent-m-w-d-Fernverkehr-international-European-Logistics-Schoenefeld-meinestadt-de--14149875-inline.html,Schönefeld,,job-226,LOGISTICS
Truck Driver Regional Transport,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,André Cöthner Cöthner Trans,Direct Employer,2026-06-28,Full-time,,"Carries out regional road transport runs including professional loading, unloading, and cargo securing in compliance with legal regulations. Responsible for vehicle inspection and maintenance as well as friendly, professional interaction with customers and partners.","Valid class CE driving licence including driver card and BKrFQG modules; experience in goods road transport preferred; reliability, punctuality, and teamwork skills; basic German language skills.",Secure permanent employment contract; regional runs without overnight stays; national operations only.,On-site,https://www.stepstone.de/stellenangebote--Jobdetail-Kraftfahrer-m-w-d-fuer-den-Nahverkehr-in-Neuenhagen-bei-Berlin-Neuenhagen-bei-Berlin-Deutschland-Andre-Coethner-Coethner-Trans--13306147-inline.html,Neuenhagen bei Berlin,,job-227,LOGISTICS
Automotive Mechatronics Technician,Motor Vehicle & Fleet Mechanics (7231),7231,723,72,Motor Vehicle Mechanics and Repairers,Berlin,Reifen-Müller Georg Müller GmbH & Co. KG,Direct Employer,2026-06-28,Full-time,,"Performs maintenance, servicing, and repair work on all common vehicle brands, including chassis, air conditioning, exhaust, and brake systems, as well as 3D wheel alignment, driver assistance system calibration, and preparation for vehicle inspections. Also supports the front-of-house team with customer vehicle needs assessments.",Completed apprenticeship as an automotive mechatronics or mechanics technician; relevant professional experience or equivalent foreign qualification; manual dexterity and willingness to engage in physically active work; tyre fitting experience an advantage; driving licence.,"Flexible working hours, family-like working atmosphere, 13th monthly salary, profit sharing, supplementary health insurance, company pension scheme, Jobrad bicycle scheme, employee discounts at numerous companies, purchasing advantages for tyres, rims, and car parts.",On-site,https://www.stepstone.de/stellenangebote--Kfz-Mechatroniker-m-w-d-Berlin-Reifen-Mueller-Georg-Mueller-GmbH-Co-KG--12796834-inline.html,Berlin,,job-228,LOGISTICS
Excavator Operator / Civil Engineering Labourer / Foreman,Earthmoving & Construction Plant Operators (8342),8342,834,83,Earthmoving and Related Plant Operators,Berlin,Cavator GmbH,Direct Employer,2026-06-28,Full-time,,"Operates modern construction machinery on civil engineering sites, carrying out earthworks, excavation, pipe laying, demolition, and ground movement tasks. Works as part of a team on varied construction projects with scope for independent initiative.","Experience operating construction machinery or in civil engineering; technical understanding and a responsible working approach; teamwork skills, reliability, and initiative; class B driving licence (class CE desirable).","Performance-related pay from EUR 20 per hour gross, bonus scheme for good work, machine care, and exemplary conduct; permanent employment contract; 30 days annual leave; modern equipment and varied projects.",On-site,https://www.stepstone.de/stellenangebote--Verantwortungsvollen-Baggerfahrer-Tiefbauer-Vorarbeiter-m-w-d-gesucht-Berlin-Cavator-GmbH--13177701-inline.html,Berlin,,job-229,LOGISTICS
ADR Driver General Cargo (Hazardous Goods),Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Brandenburg,ARNDT-Umweltpraxis GmbH,Recruitment Agency,2026-06-27,Full-time,,"Collects and transports hazardous waste and dangerous goods (drums, IBCs, pallets) from customers, handling loading and unloading via tail lift and ensuring cargo securing in accordance with ADR regulations. Also prepares disposal documentation and carries out vehicle maintenance, cleaning, and minor dismantling work.","Class B driving licence required, class C desirable; ADR certificate (general cargo) desirable; experience in general cargo transport, ideally with tail lift; BKrFQG module 95 desirable; technical aptitude; physical fitness; reliability; very good German language skills.","Attendance bonus, work clothing including laundry service, company pension scheme, occupational health service, corporate benefits, prepaid card, annual special payment, employee events, parking, coverage of BKrFQG module costs counted as paid working time.",On-site,https://www.stepstone.de/stellenangebote--ADR-Fahrer-Stueckgut-m-w-d-Ludwigsfelde-ARNDT-Umweltpraxis-GmbH--14204233-inline.html,Ludwigsfelde,,job-230,LOGISTICS
Driver Minijob,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",,HB Handels GmbH,Direct Employer,2026-06-27,Part-time,,Performs vehicle registration errands at government offices and carries out delivery runs to customers using a company pool vehicle. Role involves handling complete customer order processing after training.,Class B driving license; solution-oriented and independent working style; very good German language skills; basic PC knowledge advantageous.,"Working hours Monday to Friday, mornings on alternating weeks; pool vehicle provided for driving duties; retirees and career changers welcome.",On-site,https://www.stepstone.de/stellenangebote--Fahrer-Minijob-HB-Mitte-Mitte-Berlin-Deutschland-HB-Handels-GmbH--13953145-inline.html,Mitte,,job-231,LOGISTICS
Postal Delivery Worker for Parcels and Letters,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Brandenburg,Deutsche Post & DHL,Direct Employer,2026-06-27,Full-time,,"Delivers letters and parcels to recipients using company vehicles, including fully electric vehicles, on up to five working days per week between Monday and Saturday. Average shipment weight is under 10 kg.",Valid car driving license; conversational German; physically fit and weather-resistant; reliable and committed.,"Tariff hourly wage of €17.92 including 50% Christmas bonus, with remaining 50% paid in November; fixed-term full-time contract up to 6 months at 38.5 hours per week; option for overtime payout and additional compensation through voluntary on-call availability.",On-site,https://www.stepstone.de/stellenangebote--Postbote-fuer-Pakete-und-Briefe-in-Ludwigsfelde-m-w-d-Ludwigsfelde-Deutsche-Post-DHL--13513034-inline.html,Ludwigsfelde,,job-232,LOGISTICS
Warehouse Worker,Freight Handlers / Warehouse Laborers (9333),9333,933,93,Freight Handlers,Brandenburg,BETTER DAY event & promotion GmbH,Recruitment Agency,2026-06-27,Part-time,,"Performs general warehouse duties including administration and organization of stock, order picking and packing, labeling of goods, and coordination of logistics matters with internal departments.","Experience in warehouse logistics desirable but not essential; forklift license and experience advantageous; flexible, communicative, reliable, and structured.",Dynamic work environment; friendly and family-like team; flat hierarchies; company supplemental health insurance; Swapfiets bicycle for commuting.,On-site,https://www.stepstone.de/stellenangebote--Lagerist-gesucht-m-w-d-Koenigs-Wusterhausen-BETTER-DAY-event-promotion-GmbH--14006936-inline.html,Königs Wusterhausen,,job-233,LOGISTICS
Warehouse and Forklift Operator,Lifting Truck / Forklift Operators (8344),8344,834,83,Lifting Truck Operators,Berlin,V.V. Medien-Service GmbH,Direct Employer,2026-06-26,Full-time,,"Operates forklifts to load and unload trucks, picks and packs orders, conducts goods receipt quality and quantity checks, and maintains warehouse organization including regular inventory counts.",Experience in warehouse operations; valid forklift license; physical fitness and willingness to work shifts; reliable and flexible.,Modern working conditions and pleasant atmosphere; varied tasks supporting personal development; attractive remuneration; flexible working hours; motivated team.,On-site,https://www.stepstone.de/stellenangebote--Lager-und-Staplerfahrer-in-m-w-d-Berlin-V-V-Medien-Service-GmbH--13522038-inline.html,Berlin,,job-234,LOGISTICS
Truck Driver - Local Distribution (Daily Return),Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Walter Schmidt Logistik GmbH,Direct Employer,2026-06-26,Full-time,,"Responsible for delivering goods on regional day routes, ensuring proper load securing and professional loading, and managing correct handover of goods to customers while maintaining customer contact and vehicle condition.",Valid Class CE driving license; willingness to learn; reliable and dependable; team player with friendly manner; anticipatory driving style and careful vehicle handling.,Monday to Friday only with no weekend or public holiday work; regulated hours for good work-life balance; permanent contract; performance-based pay; holiday and Christmas bonus; training and development cost coverage.,On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-w-m-d-Nahverkehr-taegl-Heimkehr-Berlin-Walter-Schmidt-Logistik-GmbH--5465706-inline.html,Berlin,,job-235,LOGISTICS
Excavator Operator,Earthmoving & Construction Plant Operators (8342),8342,834,83,Earthmoving and Related Plant Operators,Brandenburg,Rask Brandenburg GmbH,Recruitment Agency,2026-06-26,Full-time,,"Operates excavators and construction machinery to carry out excavation and grading work, load and move materials on site, and maintains and services the deployed machines and equipment.","Experience as excavator operator or construction machine operator advantageous; confident handling of various excavator types and construction machinery; technical understanding and mechanical skill; reliable, independent, and responsible working style; Class B driving license required, additional classes advantageous.",Permanent contract with 30 days annual leave; negotiable pay with holiday bonus and performance bonuses; professional development support through courses and training; modern fleet and flat hierarchies.,On-site,https://www.stepstone.de/stellenangebote--Baggerfahrer-m-w-d-Hoppegarten-Rask-Brandenburg-GmbH--14141647-inline.html,Hoppegarten,,job-236,LOGISTICS
On-Call Postal Delivery Worker,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Berlin,Deutsche Post & DHL,Direct Employer,2026-06-26,Full-time,,"Delivers letters and parcels on an on-call basis by bicycle or car, including sorting and organizing shipments prior to delivery.","Conversational German; safe driving ability; reliable, committed, and flexible; physically fit and weather-resistant; minimum age 18.",Tariff hourly wage of €17.20; immediate on-call start; self-determined working days between Monday and Saturday; option for overtime payout; job security with guaranteed pay increases per collective agreement and punctual payment.,On-site,https://www.stepstone.de/stellenangebote--Aushilfsjob-auf-Abrufbasis-Postbote-in-Berlin-Mahlow-m-w-d-Berlin-Deutsche-Post-DHL--12714567-inline.html,Berlin,,job-237,LOGISTICS
Forklift Operator / Logistics Associate in Wholesale,Lifting Truck / Forklift Operators (8344),8344,834,83,Lifting Truck Operators,Brandenburg,CHEFS CULINAR Nord-Ost GmbH & Co. KG,Recruitment Agency,2026-06-26,Full-time,,"Responsible for storing and retrieving goods, replenishing picking locations, maintaining order and cleanliness in warehouse areas, and transporting goods from goods receipt within a wholesale environment.","Valid forklift license with practical forklift experience; logistics training advantageous; prior warehouse experience preferred; motivated, reliable, and team-oriented; good German language skills at B2 level.",30 days annual leave; holiday and Christmas bonus; employer-funded capital-forming benefits and occupational pension contributions; thorough onboarding; attractive tariff-based remuneration; staff restaurant; free employee parking.,On-site,https://www.stepstone.de/stellenangebote--Staplerfahrer-logistischer-Mitarbeiter-m-w-d-im-Grosshandel-Ludwigsfelde-CHEFS-CULINAR-Nord-Ost-GmbH-Co-KG--14140295-inline.html,Ludwigsfelde,,job-238,LOGISTICS
Forklift Operator - Warehouse Logistics Revision,Lifting Truck / Forklift Operators (8344),8344,834,83,Lifting Truck Operators,Brandenburg,Rhenus Group,Direct Employer,2026-06-26,Full-time,,"Supports colleagues across all warehouse areas by performing forklift operations (primarily reach trucks) and inventory booking tasks, focusing on stock revision, goods clearing, pallet consolidation, and regular stock checks including empty-space and article inventory counts recorded in the warehouse management system.","Experience in warehouse logistics preferred; valid forklift license with proficient handling of various forklifts, especially reach trucks; independent and responsible working style; team-oriented with careful attention to safety and compliance.",Strong team culture; streamlined decision-making processes; company bicycle scheme.,On-site,https://www.stepstone.de/stellenangebote--Staplerfahrer-w-m-d-Revision-Lagerlogistik-Velten-Rhenus-Group--14199545-inline.html,Velten,,job-239,LOGISTICS
