Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,Scope_Category,City,Date_Scraped,German_Level,Licensing_Recognition,Visa_Sponsorship,Relocation_Support,Qualification_Requirements,Years_Experience,Healthcare_Setting,Company_URL,Job_ID,Raw_ID
"Stellv. Leitung Hebamme, Berlin",CLASSIFICATION_FAILED,,,,,Berlin,Vivantes Klinikum Kaulsdorf,,2026-06-15,Full-time,,"• Eigenverantwortliche Leitung von Geburten sowie frühzeitiges Erkennen und Handeln bei Komplikationen
• Familienorientierte Betreuung inkl. Beratung von Schwangeren und Angehörigen, auch in herausfordernden Situationen
• Betreuung in Notfall- und Schwangerenambulanz sowie prä- und postpartale Versorgung
• Mitwirkung an Dienst- und Personalplanung sowie Vertretung der Hebammenleitung
• Anleitung und Begleitung von Auszubildenden im Hebammenbereich","• Staatlich anerkannte Hebamme mit fundierter fachlicher Expertise und mehrjähriger Berufserfahrung
• Idealerweise Qualifikation als Praxisanleiter*in sowie erste Leitungserfahrung
• Gute EDV-Kenntnisse und sicheres Auftreten in der Außenrepräsentation
• Ausgeprägte Fach-, Sozial- und Kommunikationskompetenz sowie Organisationstalent
• Zielorientierte Arbeitsweise mit Offenheit für Veränderungen
• Gesetzlich notwendiger Nachweis über Immunisierung gegen Masern","• Strukturierte Einarbeitung
• Attraktive Vergütung nach TVöD
• Verkehrsgünstiger Standort
• Betriebliche Altersversorgung (VBL)
• Möglichkeit der bezuschussten Altersvorsorge
• Mitarbeitendenvorteile bei namhaften Firmen
• Betriebliche Gesundheitsprogramme
• Kostenlose Kinderbetreuung bei kurzfristigem Bedarf
• Fahrradleasing möglich
• Prämie bei erfolgreicher Personalanwerbung",On-site,https://www.stepstone.de/stellenangebote--Stellv-Leitung-Hebamme-Berlin-Kaulsdorf-Vivantes-Klinikum-Kaulsdorf--14153920-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,eitung und Begleitung von Auszubildenden im Hebammenbereich Das bringen Sie mit Staatlich anerkannte Hebamme mit fundierter fachlicher Expertise und mehrjähriger Berufserfahrung I | dealerweise Qualifikation als Praxisanleiter*in sowie erste Leitungserfahrung Gute EDV-Kenntnisse und sic | • Anleitung und Begleitung von Auszubildenden im Hebammenbereich • Staatlich anerkannte Hebamme mit fundierter fachlicher Expertise und mehrjähriger Berufserfahrung,,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/vivantes-klinikum-kaulsdorf-84816/jobs,job-77,76
"Pflegefachkraft - Psychiatrie, Berlin",CLASSIFICATION_FAILED,,,,,Berlin,Vivantes Klinikum Am Urban,,2026-06-15,Part-time,,"• Alle pflegerelevanten Tätigkeiten einer motivierten Pflegefachkraft
• Empathische und bedürfnisorientierte Pflege als wichtiger Bestandteil der ganzheitlichen Betreuung
• Mitwirkung an diagnostischen und therapeutischen Abläufen
• Kollegiale Zusammenarbeit in unseren engagierten Teams, die sich gegenseitig unterstützen
• Aktive Mitgestaltung und Weiterentwicklung unserer Pflegequalität","• Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw. Gesundheits- und Krankenpfleger*in, Gesundheits- und Kinderkrankenpfleger*in, Altenpfleger*in
• Hohe soziale Kompetenz, Kommunikationsstärke sowie Freude am Umgang mit Menschen
• Bereitschaft zu verantwortungsvoller Teamarbeit und professionellem Umgang mit Nähe und Distanz
• Fähigkeit zur ganzheitlichen pflegerischen Versorgung, inklusive somatischer Krankenpflege
• Bereitschaft zur Tätigkeit im 3-Schicht-Dienst","• Strukturierte Einarbeitung
• Attraktive Vergütung nach TVöD
• Betriebliche Altersversorgung (VBL)
• Möglichkeit der bezuschussten Altersvorsorge
• CNE – zeitgemäßes, digitales Fortbildungsangebot für die Pflege
• Verkehrsgünstiger Standort • Parkmöglichkeiten für Mitarbeitende
• Betriebliche Gesundheitsprogramme
• Mitarbeitendenvorteile bei namhaften Firmen
• Kostenlose Kinderbetreuung bei kurzfristigem Bedarf
• Fahrradleasing möglich
• Prämie bei erfolgreicher Personalanwerbung",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-Psychiatrie-Berlin-Kreuzberg-Vivantes-Klinikum-Am-Urban--13915683-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"zeit: 38,5 Wochenstunden, Teilzeit möglich Entgelt: EG P8 – EG P9 TVöD, je nach Qualifikation und Einsatzbereich Einsatzort: Vivantes Klinikum Am Urban Bereich: Psychiatrie | ung und Weiterentwicklung unserer Pflegequalität Das bringen Sie mit Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw | Aktive Mitgestaltung und Weiterentwicklung unserer Pflegequalität • Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw",,Mental Health & Rehabilitation,https://www.stepstone.de/cmp/de/vivantes-klinikum-am-urban-78651/jobs,job-78,77
"Medizinische*r Fachangestellte*r (MFA) – Urologie, Berlin",CLASSIFICATION_FAILED,,,,,Berlin,meinestadt.de,,2026-06-15,Part-time,,"• Organisation der Sprechstunden (ambulant und stationär) im Chefarzt-Sekretariat
• Patient*innenempfang sowie Terminvergabe und -koordination
• Betreuung von Patient*innen und Angehörigen
• Vorbereitung und Weiterleitung von Unterlagen sowie Archivierung abgeschlossener Fälle
• Verwaltung und Pflege des Terminkalenders sowie Sicherstellung des Sprechstundenablaufs","• Abgeschlossene Ausbildung als Arzthelfer*in oder medizinische*r Fachangestellte*r (MFA)
• Berufserfahrung, vorzugsweise in einer ambulanten Praxis
• Patient*innenorientierter Umgang und sicheres Auftreten
• Hohe Teamfähigkeit und Zusammenarbeit mit anderen Berufsgruppen
• Gute EDV-Kenntnisse (z. B. Outlook, ORBIS, SAP, Word)
• Gesetzlich notwendiger Nachweis über Immunisierung gegen Masern",,On-site,https://www.stepstone.de/stellenangebote--Medizinischer-Fachangestellter-MFA-Urologie-Berlin-meinestadt-de--14154634-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"ge des Terminkalenders sowie Sicherstellung des Sprechstundenablaufs Ihr Profil Abgeschlossene Ausbildung als Arzthelfer*in oder medizinische*r Fachangestellte*r (MFA) Berufserfahrung, | und Pflege des Terminkalenders sowie Sicherstellung des Sprechstundenablaufs • Abgeschlossene Ausbildung als Arzthelfer*in oder medizinische*r Fachangestellte*r (MFA)",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/meinestadtde-218724/jobs,job-79,78
"Pflegefachkraft - Psychiatrie, Berlin",CLASSIFICATION_FAILED,,,,,Berlin,Vivantes Klinikum Kaulsdorf,,2026-06-15,Part-time,,"• Alle pflegerelevanten Tätigkeiten einer motivierten Pflegefachkraft
• Empathische und bedürfnisorientierte Pflege als wichtiger Bestandteil der ganzheitlichen Betreuung
• Mitwirkung an diagnostischen und therapeutischen Abläufen
• Kollegiale Zusammenarbeit in unseren engagierten Teams, die sich gegenseitig unterstützen
• Aktive Mitgestaltung und Weiterentwicklung unserer Pflegequalität","• Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw. Gesundheits- und Krankenpfleger*in, Gesundheits- und Kinderkrankenpfleger*in, Altenpfleger*in
• Hohe soziale Kompetenz, Kommunikationsstärke sowie Freude am Umgang mit Menschen
• Bereitschaft zu verantwortungsvoller Teamarbeit und professionellem Umgang mit Nähe und Distanz
• Fähigkeit zur ganzheitlichen pflegerischen Versorgung, inklusive somatischer Krankenpflege
• Bereitschaft zur Tätigkeit im 3-Schicht-Dienst
• Gesetzlich notwendiger Nachweis über Immunisierung gegen Masern","• Strukturierte Einarbeitung
• Attraktive Vergütung nach TVöD
• Betriebliche Altersversorgung (VBL)
• Möglichkeit der bezuschussten Altersvorsorge
• CNE – zeitgemäßes, digitales Fortbildungsangebot für die Pflege
• Verkehrsgünstiger Standort
• Parkmöglichkeiten für Mitarbeitende
• Betriebliche Gesundheitsprogramme
• Mitarbeitendenvorteile bei namhaften Firmen
• Kostenlose Kinderbetreuung bei kurzfristigem Bedarf
• Fahrradleasing möglich
• Prämie bei erfolgreicher Personalanwerbung",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-Psychiatrie-Berlin-Kaulsdorf-Vivantes-Klinikum-Kaulsdorf--13915673-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"zeit: 38,5 Wochenstunden, Teilzeit möglich Entgelt: EG P8 – EG P9 TVöD, je nach Qualifikation und Einsatzbereich Einsatzort: Vivantes Klinikum Kaulsdorf Bereich: Psychiatrie | ung und Weiterentwicklung unserer Pflegequalität Das bringen Sie mit Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw | Aktive Mitgestaltung und Weiterentwicklung unserer Pflegequalität • Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw",,Mental Health & Rehabilitation,https://www.stepstone.de/cmp/de/vivantes-klinikum-kaulsdorf-84816/jobs,job-80,79
"Freiberuflicher Patientenberater Homecare (m/w/d) Pflegefachkraft / Gesundheits- und Krankenpfleger, Frankfurt",CLASSIFICATION_FAILED,,,,,Hessen,Fresenius Kabi Deutschland GmbH,,2026-06-15,Full-time,,"• Sei dein eigener Chef : Wir unterstützen dich Schritt für Schritt auf dem Weg in die Selbstständigkeit.
• Beratung, Anleitung, Einweisung: Du begleitest Patienten, deren Angehörige und Pflegekräfte bei der korrekten Handhabung von Produkten der enteralen und parenteralen Ernährungstherapie im häuslichen Umfeld.
• Kommunikation, Abstimmung, Kooperation: Du arbeitest eng mit Ärzten, Pflegeeinrichtungen und Kliniken zusammen, um eine reibungslose Versorgung der Patienten sicherzustellen.
• Organisation, Unterstützung, Dokumentation: Du bereitest die Versorgung vor, gibst Hilfestellung bei der Durchführung und erfasst im Nachgang alle Daten digital.
• Kontaktpflege, Vernetzung, Ausbau: Du betreust wohnortnahe Versorgungsgebiete und baust neue Kontakte zu Ärzten, Kliniken und Pflegeeinrichtungen auf, um deinen Kundenstamm auszubauen.","• Du hast eine dreijährige Ausbildung als Pflegefachkraft, Gesundheits- und Krankenpfleger , Altenpfleger (ab 2003), Kinderkrankenpfleger oder eine vergleichbare Ausbildung im medizinisch-pflegerischen Bereich abgeschlossen.
• Idealerweise bringst du bereits Berufserfahrung im Bereich enterale/parenterale Ernährung mit.
• Du liebst organisatorische Herausforderungen, treibst Dinge voran und glänzt durch Engagement, Teamfähigkeit sowie ein gutes Einfühlungsvermögen.
• Eine strukturierte, eigenverantwortliche und lösungsorientierte Arbeitsweise zeichnet dich aus.
• Weil du im Rahmen der Tätigkeit mobil sein musst, bringst du einen Führerschein Klasse B mit und verfügst über einen PKW .
• Sprachkenntnisse: Sehr gute Deutschkenntnisse in Wort & Schrift erforderlich.",,On-site,https://www.stepstone.de/stellenangebote--Freiberuflicher-Patientenberater-Homecare-m-w-d-Pflegefachkraft-Gesundheits-und-Frankfurt-Bamberg-Erfurt-Mannheim-Kempten-Nienburg-Chemnitz-Halle-Husum-Berlin-Trier-Koeln-Fresenius-Kabi-Deutschland-GmbH--13341129-inline.html,HEALTHCARE,Frankfurt,2026-06-19,,,,,,,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/fresenius-kabi-deutschland-gmbh-197296/jobs,job-81,80
"Zahnmedizinische/r Fachangestellte/r (m/w/d), Berlin",CLASSIFICATION_FAILED,,,,,Berlin,KU64 Dr. Ziegler & Partner Zahnärzte,,2026-06-15,Full-time,,"• Assistenz bei Behandlungen: Du unterstützt unser zahnärztliches Team direkt bei den Behandlungen und sorgst für den reibungslosen Ablauf.
• Betreuung unserer Patient:innen: Ob vor, während oder nach der Behandlung – mit deiner Freundlichkeit und Empathie machst du den Unterschied.
• Hygiene und Sterilisation: Sauberkeit liegt dir am Herzen – du bist dafür verantwortlich, dass Instrumente perfekt sterilisiert und Hygienevorschriften eingehalten werden.
• Röntgen & Dokumentation: Du fertigst Röntgenaufnahmen an und unterstützt bei der präzisen Dokumentation der Behandlungsverläufe.","• Ausbildung als ZFA? Check!
• Erfahrung in der Assistenz und Hygiene – du weißt, wie wichtig perfekte Abläufe sind.
• Röntgenschein – damit du den Durchblick hast.
• Kenntnisse in Praxissoftware (Z1) wären ideal, sind aber kein Muss.","• Attraktive Vergütung und flexible Arbeitsmodelle – damit Job und Leben optimal im Einklang sind.
• Benefits ohne Ende: BVG-Ticket, Fitness-Zuschuss, betriebliche Krankenversicherung, Englischkurse, monatliches Guthaben auf die Kreditkarte und Unterstützung bei der Kinderbetreuung.
• Teamevents, die in Erinnerung bleiben: Sommerfeste, spannende Praxisreisen, spontane Grillabende – hier wird gefeiert!
• Gesundheitsförderung – von Raucherentwöhnung bis zu vergünstigten Prophylaxeprodukten.
• Fortbildung und Karrierechancen: Wir unterstützen dich bei deiner Weiterbildung und bieten dir Aufstiegsmöglichkeiten.
• Prämien für deine Treue: Freu dich auf Highlights zu deinem 5. und 10. Jubiläum!",On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-r-Fachangestellte-r-m-w-d-Berlin-KU64-Dr-Ziegler-Partner-Zahnaerzte--14152174-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Medical & Dental Practices,,job-82,81
"Lehrkraft (gn*) im Bereich Anerkennung internationaler Fachk, Potsdam",CLASSIFICATION_FAILED,,,,,Brandenburg,Oberlinhaus,,2026-06-15,Part-time,,"• Ansprechperson: Sie stehen Teilnehmer:innen, Kolleg:innen, Praxispartner:innen sowie der Bundesagentur für Arbeit als kompetente Ansprechperson zur Verfügung und unterstützen die Akquise neuer Partner:innen. • Unterricht: Sie entwickeln und realisieren bedarfsgerechte Bildungsangebote und setzen diese praxisnah um. • Prüfungen: Sie übernehmen die organisatorische und inhaltliche Vor- sowie Nachbereitung von Prüfungen. • Datenmanagement: Sie verantworten die Datenerfassung sowie die ordnungsgemäße Archivierung. • Repräsentation: Sie repräsentieren unsere Einrichtung auf Messen und beraten Interessierte kompetent vor Ort.","• Abschluss: Sie verfügen über einen Hochschulabschluss als Diplom-Medizinpädagoge (gn*) / Diplom-Pflegepädagoge (gn*) / Master of Science und eine pflegerische Ausbildung oder verfügen über umfassende Praxiserfahrungen im Bereich der internationalen Anerkennung. • Persönlichkeit: Sie sind motiviert, innovativ, absolut zuverlässig und nehmen Herausforderungen an, um sie zielorientiert zu bewältigen. • Umgang: Sie pflegen mit allen Menschen einen respektvollen und wertschätzenden Umgang. • Werteorientierung: Sie besitzen eine positive Einstellung zu unserem diakonischen Auftrag und unseren Werten.","Job-Kennziffer OBERLIN705O 32 - 40 h/Woche Ab sofort Potsdam• Befristung: Die Position ist vorerst auf zwei Jahre befristet.• Verantwortung: Eine verantwortungsvolle und abwechslungsreiche Tätigkeit in einem herzlichen und engagierten Team. • Vergütung: Attraktive Vergütung nach AVR DWBO (EG 8 oder 11) je nach Berufsabschluss mit systematischer Gehaltsentwicklung. • Sinnhaftigkeit: Sinnstiftende Tätigkeit in einem wertschätzenden Umfeld. • Urlaub & Sonderzahlungen: Jahressonderzahlungen und 31 Tage Urlaub bei einer 5-Tage-Woche sowie bezahlte Freistellung am 24.12. und 31.12. • Altersvorsorge: Betriebliche Altersvorsorge oder vermögenswirksame Leistungen. • Familienfreundlichkeit: Kinderzuschlag (91,79 € je Kind bei Vollzeit) und bevorzugte Kita-Platzvergabe. • Mitarbeitendenrabatte: Rabatt bei zahlreichen Partnern. • Weiterentwicklung: Individuelle Personalentwicklung durch Teamcoachings, Supervisionen und Praxisanleitung. • Onboarding & Teamgeist: Willkommenstage für neue Kolleg:innen sowie Teamevents für ein starkes Miteinander. • Mobilität: Mobilitätszuschuss nach der Probezeit: für einJobrad / VBB-/ Deutschlandticket oder kostenfreies Oberlinfahrrad.Sie sind willkommen - ganz gleich, welches Geschlecht Sie haben, woher Sie kommen, woran Sie glauben, wie alt Sie sind, wen Sie lieben oder ob Sie mit einer Behinderung leben. Vielfalt macht unser Team stärker. Schwerbehinderte Bewerber:innen werden bei gleicher Eignung bevorzugt berücksichtigt.",On-site,https://www.stepstone.de/stellenangebote--Lehrkraft-gn-im-Bereich-Anerkennung-internationaler-Fachk-Potsdam-Oberlinhaus--13973145-inline.html,HEALTHCARE,Potsdam,2026-06-19,,Anerkennung,,,Das ist Ihr Profil • Abschluss: Sie verfügen über einen Hochschulabschluss als Diplom-Medizinpädagoge (gn*) / Diplom-Pflegepädagoge (gn*) / Master of Science und ein | • Vergütung: Attraktive Vergütung nach AVR DWBO (EG 8 oder 11) je nach Berufsabschluss mit systematischer Gehaltsentwicklung | • Abschluss: Sie verfügen über einen Hochschulabschluss als Diplom-Medizinpädagoge (gn*) / Diplom-Pflegepädagoge (gn*) / Master of Science und ein,,Other Healthcare Providers,,job-83,82
"Pflegefachkraft - Kinder- und Jugendpsychiatrie, Berlin",CLASSIFICATION_FAILED,,,,,Berlin,Vivantes Klinikum im Friedrichshain Landsberger Allee,,2026-06-15,Part-time,,"• Eigenverantwortliche Planung, Umsetzung und Evaluation des Pflegeprozesses im Rahmen der Bezugspflege
• Pflegerisch-pädagogische Begleitung und Aktivierung der jungen Patient*innen während des gesamten Behandlungsprozesses
• Alters- und entwicklungsphasengerechte Förderung von Interessen und Kompetenzen im Kontext psychiatrischer Erkrankungen
• Vermittlung von Sicherheit in seelischen Belastungs- und Krisensituationen sowie wertschätzende Begleitung im Stationsalltag
• Zusammenarbeit mit anderen Berufsgruppen und Mitwirkung an der Weiterentwicklung von Stations- und Pflegekonzepten","• Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson bzw. Gesundheits- und Krankenpfleger*in, Gesundheits- und Kinderkrankenpfleger*in, Altenpfleger*in
• Hohe soziale Kompetenz, Kommunikationsstärke sowie Freude am Umgang mit Menschen
• Bereitschaft zu verantwortungsvoller Teamarbeit und professionellem Umgang mit Nähe und Distanz
• Fähigkeit zur ganzheitlichen pflegerischen Versorgung, inklusive somatischer Krankenpflege
• Bereitschaft zur Tätigkeit im 3-Schicht-Dienst
• Gesetzlich notwendiger Nachweis über Immunisierung gegen Masern","• Strukturierte Einarbeitung
• Attraktive Vergütung nach TVöD
• Betriebliche Altersversorgung (VBL)
• Möglichkeit der bezuschussten Altersvorsorge
• CNE – zeitgemäßes, digitales Fortbildungsangebot für die Pflege
• Verkehrsgünstiger Standort
• Parkmöglichkeiten für Mitarbeitende
• Betriebliche Gesundheitsprogramme
• Mitarbeitendenvorteile bei namhaften Firmen
• Kostenlose Kinderbetreuung bei kurzfristigem Bedarf
• Fahrradleasing möglich
• Prämie bei erfolgreicher Personalanwerbung",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-Kinder-und-Jugendpsychiatrie-Berlin-Friedrichshain-Vivantes-Klinikum-im-Friedrichshain-Landsberger-Allee--13915671-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"t in flexiblen Arbeitszeitmodellen möglich Entgelt: EG P8 – EG P9 TVöD, je nach Qualifikation und Einsatzbereich Einsatzort: Vivantes Klinikum im Friedrichshain Bereich: Kin | terentwicklung von Stations- und Pflegekonzepten Das bringen Sie mit Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson bzw | wirkung an der Weiterentwicklung von Stations- und Pflegekonzepten • Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson bzw",,Mental Health & Rehabilitation,https://www.stepstone.de/cmp/de/vivantes-klinikum-im-friedrichshain-landsberger-allee-83295/jobs,job-84,83
"Examinierte/r Altenpfleger:in oder Gesundheits-&Pflegeassistenten, Berlin",CLASSIFICATION_FAILED,,,,,Berlin,Übag Hakan Uzun & White Smile MVZ GbR,,2026-06-15,Full-time,,* Unterstützung unserer Ärzt:innen bei Visiten in Pflegeeinrichtungen * Assistenz bei Untersuchungen und Behandlungen * Sorgfältige Dokumentation sowie Kommunikation im medizinischen Team,"Ihr Profil:* Abgeschlossene Ausbildung als Altenpfleger:in, Gesundheits- und Krankenpfleger:in oder Pflege- und Gesundheitsassistent:in * Interesse an der engen Zusammenarbeit mit Ärzt:innen * Einfühlungsvermögen, Teamgeist und Verantwortungsbewusstsein * Selbstständige, strukturierte und zuverlässige ArbeitsweiseAnforderungen an den Bewerber: Grundkenntnisse: Allgemeinmedizin (Pflege, Assistenz), Demenzerkrankte (Betreuung, Beratung etc.), Altenarbeit, Seniorenarbeit, Altenpflege, Pflegehilfe (Alten-, Kranken-, Behindertenpflege), Ambulante Wohnbetreuung, Ambulante/mobile Pflege, Behandlungspflege, Blutdruckmessung, Digitale Pflegeanwendungen, Krankenhaus-, Praxishygiene Erweiterte Kenntnisse: Hygiene, Desinfektion, Geriatrie, Gerontologie (Pflege, Assistenz), Pflegedokumentation","* Flexible Arbeitszeiten nach individueller Absprache * Ein freundliches, wertschätzendes und kollegiales Team * Attraktive Vergütung",On-site,https://www.stepstone.de/stellenangebote--Examinierte-r-Altenpfleger-in-oder-Gesundheits-Pflegeassistenten-Berlin-Uebag-Hakan-Uzun-White-Smile-MVZ-GbR--13908533-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"Zur Verstärkung unseres Teams suchen wir ab sofort engagierte examinierte Altenpfleger:innen, Gesundheits- und Krankenpfleger:innen sowie Pflege- und Ge | Dokumentation sowie Kommunikation im medizinischen Team Ihr Profil Ihr Profil:* Abgeschlossene Ausbildung als Altenpfleger:in, Gesundheits- und Krankenpfleger:in oder Pflege- und Gesund | orgfältige Dokumentation sowie Kommunikation im medizinischen Team Ihr Profil:* Abgeschlossene Ausbildung als Altenpfleger:in, Gesundheits- und Krankenpfleger:in oder Pflege- und Gesund",,Residential & Long-Term Care,,job-85,84
"Medizinische Fachangestellte (m/w/d) Pädiatrie/Kinder-Pneumologie/Allergologie gesucht, Berlin",CLASSIFICATION_FAILED,,,,,Berlin,Dr. Uwe Klettke Dr. Ute Staden,,2026-06-15,Full-time,,"•Patientenempfang, Terminvergabe und Organisation des Praxisablaufs •Assistenz bei diagnostischen und therapeutischen Maßnahmen (z. B. Vorsorgeuntersuchungen bei Kindern, Impfungen, Lungenfunktionsprüfungen, Allergietests) •Vorbereitung und Nachbereitung der Sprechstunde •Dokumentation und Verwaltung der Patientendaten •ggf. Unterstützung bei Patientenschulungen (Asthma, Anaphylaxie, Neurodermitis)","Wenn Sie Freude an der Arbeit mit Kindern und Jugendlichen haben und bereits Erfahrung im Bereich Pädiatrie, Pneumologie, Allergologie oder Atemwegserkrankungen mitbringen, freuen wir uns sehr auf Ihre Bewerbung.Ihr Profil•Abgeschlossene Ausbildung zur Medizinischen Fachangestellten (MFA) oder vergleichbare Qualifikation •Berufserfahrung im pneumologischen oder pädiatrischen Bereich wünschenswert •Freundliches Auftreten, Teamfähigkeit und Organisationsgeschick •Freude an der Arbeit mit Kindern, Jugendlichen und Eltern und Interesse an FortbildungenAnforderungen an den Bewerber: Grundkenntnisse: Allergietest Erweiterte Kenntnisse: Patientenaufnahme, -verwaltung, Lungenfunktionsprüfung, Patientenbetreuung, Praxisorganisation, Praxisverwaltung","•Ein herzliches, kollegiales Team mit wertschätzender Arbeitsatmosphäre •Geregelte Arbeitszeiten ohne Nacht- oder Wochenenddienste •Möglichkeit zur Weiterbildung (z. B. in Asthma-/Neurodermitis-Schulungen) •Eine unbefristete Anstellung mit leistungsgerechter Vergütung •Moderne Praxisräume im Südwesten von Berlin mit guter Anbindung",On-site,https://www.stepstone.de/stellenangebote--Medizinische-Fachangestellte-m-w-d-Paediatrie-Kinder-Pneumologie-Allergologie-gesucht-Berlin-Dr-Uwe-Klettke-Dr-Ute-Staden--13314294-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,Ihr Profil•Abgeschlossene Ausbildung zur Medizinischen Fachangestellten (MFA) oder vergleichbare Qualifikation •Beru,,Mental Health & Rehabilitation,,job-86,85
"Du bedeutest uns was: Arbeite als Pflegefachkraft / Pflegefachfrau*mann in den DRK Kliniken Berlin Köpenick, Berlin",CLASSIFICATION_FAILED,,,,,Berlin,DRK-Kliniken Berlin Pflege & Wohnen Mariendorf,,2026-06-15,Full-time,,"• Du planst Pflegemaßnahmen, führst sie sach- und fachkundig durch und wertest sie aus
• Dabei beziehst Du unsere Patienten*innen und ihre Angehörigen mit ein
• Du erkennst die Bedürfnisse unserer Patienten*innen und beachtest bei der Betreuung ihre individuellen Ressourcen und Probleme
• Du beobachtest den körperlichen und seelischen Zustand unserer Patienten*innen sowie die Umstände, die ihre Gesundheit beeinflussen, und gibst Deine Beobachtungen weiter
• Du leitest lebensnotwendige Sofortmaßnahmen bis zum Eintreffen der Ärzte*innen ein","• Abgeschlossene Ausbildung als Pflegefachkraft / Gesundheits- und Krankenpfleger in / Pflegefachfrau Pflegefachmann / Altenpfleger*in
• Wenn Du eine Zusatzqualifikation oder Weiterbildung hast, gib sie gerne an","• Wir haben tolle Onboardingprogramme für die peripheren Stationen und den Intensiv / IMC-Bereich:
• Vorstellungsgespräche mit Kind, Notfallkinderbetreuung und viele weitere Angebote für Familien:
• Dein monatliches Bruttogrundgehalt laut Haustarif als Pflegefachkraft ohne Zusatzqualifikation: 3.460 – 4.260 € plus Zulagen (z.B. Nacht-, Feiertags-, Wochenendzuschläge, Pflegezulagen von 225 – 350 €), Urlaubs- und Weihnachtsgeld
• Dank unserer Kooperation mit der BVG bekommst Du Dein Deutschlandticket Job für nur 40,60 € im Monat statt 58 €. Und wenn Du lieber aufs Rad steigst, kannst Du Dir ganz unkompliziert ein Jobrad leasen
• Du willst Dich weiterbilden? Wir unterstützen Dich zum Beispiel bei der Weiterbildung: als Praxisanleiter in, Intensivfachpfleger in oder Palliativkraft in unserer eigenen Weiterbildungsakademie oder auch bei Deinem Bachelor-Studium
• Sichere Dir exklusiv eine nagelneue Mietwohnung direkt gegenüber der DRK Kliniken Berlin Köpenick. Vom 1-Raum-Apartment für Singles bis zur 4-Raum-Wohnung für Familien oder WGs. Und das Beste: Der Müggelsee ist nur eine Straße entfernt
• Viele weitere Benefits findest Du hier:",On-site,https://www.stepstone.de/stellenangebote--Du-bedeutest-uns-was-Arbeite-als-Pflegefachkraft-Pflegefachfraumann-in-den-DRK-Kliniken-Berlin-Koepenick-Berlin-DRK-Kliniken-Berlin-Pflege-Wohnen-Mariendorf--13906719-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,Yes,"nsnotwendige Sofortmaßnahmen bis zum Eintreffen der Ärzte*innen ein Dein Profil Abgeschlossene Ausbildung als Pflegefachkraft / Gesundheits- und Krankenpfleger in / Pflegefachfrau Pfleg | efachmann / Altenpfleger*in Wenn Du eine Zusatzqualifikation oder Weiterbildung hast, gib sie gerne an Deine Vorteile DRK Kliniken Berlin Wi | ein monatliches Bruttogrundgehalt laut Haustarif als Pflegefachkraft ohne Zusatzqualifikation: 3",,Residential & Long-Term Care,,job-87,86
